title,content,category
iVOOMi Energy to set up Electric Vehicle manufacturing unit in Pune,"iVOOMi Energy will set up an Electric Vehicle manufacturing unit in Pune with a ₹200 crore investment to enhance research and development. iVOOMi Energy aims to roll out more than 2,00,000 units by the end of FY23. The manufacturing plant will be operational from March 2023, and will provide employment to 2,000 people, the company said in a statement. ",world
General Aeronautics commences commercial production of agri drones,"Drone startup General Aeronautics has started the commercial production of agriculture drones with an aim to produce 100 units monthly. The startup had been conducting trials for the last three years, the results of which have been validated by 15 agricultural institutes, Srikanth Srinivasan, Head of Sales and Marketing, General Aeronautics said. The manufactured drone is named 'Krishak.'",world
Terror hideout busted by security forces in J&K's Ramban district,"Security forces busted a terror hideout and seized a cache of ammunition and explosives in J&K's Ramban district on Monday, officials informed. The hideout was detected during a joint search operation by the Rashtriya Rifles and the police, officials added. According to officials, a grenade, 35 AK rounds, explosive material and seven pistol rounds were among the items seized.",world
Stay alert: Uttarakhand CM to officials amid heavy rainfall alert,"In view of the Indian Meteorological Department's (IMD) heavy rainfall forecast for Uttarakhand, CM Pushkar Singh Dhami has asked all District Magistrates to be on high alert. He also appealed to tourists and citizens to stay away from rivers and rivulets to avoid accidents. The IMD has issued a red alert in seven districts of the state for July 20.",world
India and Fiji hold 5th Foreign Office Consultations in Suva,"Delegations from India and Fiji held the fifth Foreign Office Consultations on Monday in Suva during which the entire gamut of bilateral relations between the countries was reviewed, the Indian High Commission in Suva said. The two sides also discussed ways to strengthen bilateral ties, the mission added. It further informed that the Indian delegation met senior Fijian cabinet ministers.",world
"BJP MP pledges salary to family of Udaipur tailor, gets death threat","BJP MP from Rajasthan Kirodi Lal Meena on Monday said that he has received a death threat via a letter for pledging his one month's salary to the family of Udaipur-based tailor Kanhaiya Lal. The letter says that whoever insults the Prophet or helps those insulting the Prophet will be killed, even if they are big leaders. ",world
Yasin Malik to go on hunger strike if 'fair trial' demand not met,"Kashmiri separatist leader Yasin Malik said that he will go on hunger strike from July 22 if his demands for a fair trial are not met, the Jammu and Kashmir Liberation Front (JKLF) stated. Malik moved an application to the Centre seeking personal appearance in two cases. He is currently serving a life sentence in a terror funding case. ",world
J&K LG announces 10% reservation for 'Agniveers' in police,"J&K LG Manoj Sinha on Sunday announced a 10% reservation in the UT's police force for those who retire after serving in the military under the Agnipath scheme, PTI reported. Sinha said that his decision was influenced by the suggestion of two youths from Jammu. He further directed state officials to ensure that aspiring 'Agniveers' get the resources they need.",world
Bajrang Dal activist attacked in Uttar Pradesh,"A Bajrang Dal activist, Prashant Saini, was attacked in Uttar Pradesh's Saharanpur district by unidentified miscreants, the police said. Saini was on his way to pick up his son from school when he was attacked by five-six men, Additional Superintendent of Police Rajesh Kumar said. The activist was rushed to the hospital while an FIR was registered against the attackers.",world
UK residents asked to stay indoors as temp expected to breach 40°C,"People in the UK are being advised to stay indoors and avoid non-essential travel as the country may experience temperatures above 40°C on Monday or Tuesday for the first time since records began. The advisory comes as the country has issued its first-ever red alert for extreme heat amid unprecedented temperatures. Notably, several regions in Europe are experiencing heatwaves.",world
Nearly half of EU territory at drought risk as Europe braces heatwave,"Nearly half of EU's territory is at risk of drought, the European Commission said on Monday as several parts of the continent are currently bracing heatwaves. EU researchers have also warned that lack of water and strong heat are driving crop yields lower in France, Romania, Spain, Portugal and Italy. Notably, Italy's longest river Po has significantly shrunk in size.",world
"4 people shot at nightclub in Spain, suspected attacker stabbed","Four people were shot and one other was stabbed with a knife at a nightclub in the Spanish town of Marbella, police said on Monday. The person who was stabbed is suspected to be the one who opened fire, police added. Police informed that two of the four people who were shot and the suspect were in serious condition.",world
Veteran Bollywood singer Bhupinder Singh passes away at 82,"Veteran Bollywood playback and ghazal singer Bhupinder Singh has passed away of a colon ailment at 82 in Mumbai. Singh is known for songs like 'Naam Gum Jayega', 'Kabhi Kisi Ko Mukammal Jahan Nahi Milta' and 'Hothon Pe Aisi Baat'. He's also been credited as a guitarist in famous Bollywood songs like 'Dum Maro Dum' and 'Mehbooba O Mehbooba'.",politics
West can't isolate Russia & reverse its development by decades: Putin,"Russian President Vladimir Putin said on Monday that it's impossible for the West to isolate Russia from the rest of the world and reverse the country's development back by ""decades"". Putin added that Russia will have to develop its own domestic technology. Western countries, including the US and UK, imposed several financial sanctions on Russia following its invasion of Ukraine.",politics
CBI arrests 8 persons for alleged malpractices in NEET UG 2022 exam,"The Central Bureau of Investigation (CBI) arrested eight people on Monday for alleged malpractices in NEET UG 2022 exam held on July 17. The CBI claimed that candidates' user IDs and passwords were collected by the accused, who made necessary modifications to get desired examination centres. The accused also tried to morph photographs to facilitate use of proxy candidates.",politics
"If I get 20 minutes with Virat Kohli, I might be able to help him: Sunil Gavaskar","Amid Virat Kohli's poor form, Sunil Gavaskar said, ""If I had about 20 minutes with him...I'd...tell him the things he might've to do. It might help him."" He added, ""Having been an opening batter...having been troubled by [off-stump] line...there are certain things that you try and do. If I get 20 minutes...I might be able to tell him.""",politics
Hardik Pandya shares video of his journey from injury rehab to India comeback,"Team India all-rounder Hardik Pandya took to social media to share a video of his journey from injury rehab to Team India comeback. He wrote, ""Through the ups and downs...with my people by my side. Woke up every morning raring to go...with the will to become fitter and play for my country. Always grateful to those who stood by me.""",politics
"Report claims Ronaldo to join Sporting CP as car seen at stadium, he calls it 'fake'",Manchester United forward Cristiano Ronaldo has branded reports of a return to Sporting CP on loan as 'fake'. Reports had emerged from Portugal on Sunday claiming the Manchester United forward was at Sporting CP's Jose Alvalade Stadium to discuss a loan return to his boyhood club. A report had also included a picture of Ronaldo's car in the stadium.,politics
"Rail Ministry shares before-after pics of Gauriganj Station, says 'Glimpse of new India'","The Ministry of Railways took to Twitter to share before-after pictures of Gauriganj Station, which is situated in Uttar Pradesh. ""Glimpse of new India: Gauriganj Station,"" the ministry wrote alongside the tweet. ""Superb,"" a user commented on the post. The station is located in Uttar Pradesh's Amethi district.",politics
"Male model, friend arrested with cannabis worth ₹1cr; supplied drugs in DU campus",A 25-year-old Delhi-based model named Shubham Malhotra and his 27-year-old friend Kriti have been arrested with premium quality 'charas' (cannabis) worth ₹1 crore. The duo allegedly supplied drugs to youngsters around the Delhi University (DU) campus. They were allegedly procuring 'charas' from Himachal Pradesh's Malana and transporting it to Delhi hidden in a pillow in their car.,politics
Precaution dose needed as protection is declining: COVID task force,"National Task Force on COVID-19 head Dr VK Paul on Monday said the precaution dose of the vaccine is needed as the protection against the virus is declining. ""We need to have optimal protection beyond six months of second dose. The precaution dose must be pushed in mission mode,"" he said. Paul added that there is fatigue in people's mind.",politics
This Indian bowling unit is excellent: Siraj after ODI series win vs England,"Speaking about India's bowling performance in the recently concluded three-match ODI series against England, pacer Mohammed Siraj stated that the current Indian bowling unit is excellent. ""Like how Hardik Pandya came in and took the wickets of their well-set batters [in third ODI], that phase was really crucial for...team,"" he added. India bowled out England in all three ODIs.",politics
2-time Olympic champion Crouser wins 1st shot put world gold in US sweep,"Two-time Olympic gold medallist and world record holder Ryan Crouser won his first shot put gold medal at World Athletics Championships in Oregon on Sunday as he led a US clean sweep with a championship record throw of 22.94 metres. Defending champion Joe Kovacs threw 22.89 metres to clinch silver, while Josh Awotunde won bronze with a 22.29-metre throw.",politics
Goa reports 100% voter turnout in Presidential polls,"All 40 eligible members of the Goa Legislative Assembly, including CM Pramod Sawant, voted in the Presidential elections on Monday. The polling started at 10 am and all 40 MLAs had voted by 1:50 pm, Secretary of the Goa Legislative Assembly Namrata Ulman said. She added that the polling was conducted smoothly and no complaints or objections were raised.",politics
"Zoho to hire 2,000 people as it looks to expand globally","Software-as-a-service (SaaS) startup Zoho is planning to hire 2,000 people across various roles in engineering, design, content and sales as it looks to expand its operations in India and globally. Speaking to Economic Times, Prashant Ganti, head of products, tax, accounting and payroll at Zoho, said that the company plans to grow organically and expand to other geographies.",politics
iVOOMi Energy to set up Electric Vehicle manufacturing unit in Pune,"iVOOMi Energy will set up an Electric Vehicle manufacturing unit in Pune with a ₹200 crore investment to enhance research and development. iVOOMi Energy aims to roll out more than 2,00,000 units by the end of FY23. The manufacturing plant will be operational from March 2023, and will provide employment to 2,000 people, the company said in a statement. ",politics
General Aeronautics commences commercial production of agri drones,"Drone startup General Aeronautics has started the commercial production of agriculture drones with an aim to produce 100 units monthly. The startup had been conducting trials for the last three years, the results of which have been validated by 15 agricultural institutes, Srikanth Srinivasan, Head of Sales and Marketing, General Aeronautics said. The manufactured drone is named 'Krishak.'",politics
Terror hideout busted by security forces in J&K's Ramban district,"Security forces busted a terror hideout and seized a cache of ammunition and explosives in J&K's Ramban district on Monday, officials informed. The hideout was detected during a joint search operation by the Rashtriya Rifles and the police, officials added. According to officials, a grenade, 35 AK rounds, explosive material and seven pistol rounds were among the items seized.",politics
Stay alert: Uttarakhand CM to officials amid heavy rainfall alert,"In view of the Indian Meteorological Department's (IMD) heavy rainfall forecast for Uttarakhand, CM Pushkar Singh Dhami has asked all District Magistrates to be on high alert. He also appealed to tourists and citizens to stay away from rivers and rivulets to avoid accidents. The IMD has issued a red alert in seven districts of the state for July 20.",politics
India and Fiji hold 5th Foreign Office Consultations in Suva,"Delegations from India and Fiji held the fifth Foreign Office Consultations on Monday in Suva during which the entire gamut of bilateral relations between the countries was reviewed, the Indian High Commission in Suva said. The two sides also discussed ways to strengthen bilateral ties, the mission added. It further informed that the Indian delegation met senior Fijian cabinet ministers.",politics
"BJP MP pledges salary to family of Udaipur tailor, gets death threat","BJP MP from Rajasthan Kirodi Lal Meena on Monday said that he has received a death threat via a letter for pledging his one month's salary to the family of Udaipur-based tailor Kanhaiya Lal. The letter says that whoever insults the Prophet or helps those insulting the Prophet will be killed, even if they are big leaders. ",politics
Yasin Malik to go on hunger strike if 'fair trial' demand not met,"Kashmiri separatist leader Yasin Malik said that he will go on hunger strike from July 22 if his demands for a fair trial are not met, the Jammu and Kashmir Liberation Front (JKLF) stated. Malik moved an application to the Centre seeking personal appearance in two cases. He is currently serving a life sentence in a terror funding case. ",politics
J&K LG announces 10% reservation for 'Agniveers' in police,"J&K LG Manoj Sinha on Sunday announced a 10% reservation in the UT's police force for those who retire after serving in the military under the Agnipath scheme, PTI reported. Sinha said that his decision was influenced by the suggestion of two youths from Jammu. He further directed state officials to ensure that aspiring 'Agniveers' get the resources they need.",politics
Bajrang Dal activist attacked in Uttar Pradesh,"A Bajrang Dal activist, Prashant Saini, was attacked in Uttar Pradesh's Saharanpur district by unidentified miscreants, the police said. Saini was on his way to pick up his son from school when he was attacked by five-six men, Additional Superintendent of Police Rajesh Kumar said. The activist was rushed to the hospital while an FIR was registered against the attackers.",politics
UK residents asked to stay indoors as temp expected to breach 40°C,"People in the UK are being advised to stay indoors and avoid non-essential travel as the country may experience temperatures above 40°C on Monday or Tuesday for the first time since records began. The advisory comes as the country has issued its first-ever red alert for extreme heat amid unprecedented temperatures. Notably, several regions in Europe are experiencing heatwaves.",politics
Nearly half of EU territory at drought risk as Europe braces heatwave,"Nearly half of EU's territory is at risk of drought, the European Commission said on Monday as several parts of the continent are currently bracing heatwaves. EU researchers have also warned that lack of water and strong heat are driving crop yields lower in France, Romania, Spain, Portugal and Italy. Notably, Italy's longest river Po has significantly shrunk in size.",politics
"4 people shot at nightclub in Spain, suspected attacker stabbed","Four people were shot and one other was stabbed with a knife at a nightclub in the Spanish town of Marbella, police said on Monday. The person who was stabbed is suspected to be the one who opened fire, police added. Police informed that two of the four people who were shot and the suspect were in serious condition.",politics
Veteran Bollywood singer Bhupinder Singh passes away at 82,"Veteran Bollywood playback and ghazal singer Bhupinder Singh has passed away of a colon ailment at 82 in Mumbai. Singh is known for songs like 'Naam Gum Jayega', 'Kabhi Kisi Ko Mukammal Jahan Nahi Milta' and 'Hothon Pe Aisi Baat'. He's also been credited as a guitarist in famous Bollywood songs like 'Dum Maro Dum' and 'Mehbooba O Mehbooba'.",technology
West can't isolate Russia & reverse its development by decades: Putin,"Russian President Vladimir Putin said on Monday that it's impossible for the West to isolate Russia from the rest of the world and reverse the country's development back by ""decades"". Putin added that Russia will have to develop its own domestic technology. Western countries, including the US and UK, imposed several financial sanctions on Russia following its invasion of Ukraine.",technology
CBI arrests 8 persons for alleged malpractices in NEET UG 2022 exam,"The Central Bureau of Investigation (CBI) arrested eight people on Monday for alleged malpractices in NEET UG 2022 exam held on July 17. The CBI claimed that candidates' user IDs and passwords were collected by the accused, who made necessary modifications to get desired examination centres. The accused also tried to morph photographs to facilitate use of proxy candidates.",technology
"If I get 20 minutes with Virat Kohli, I might be able to help him: Sunil Gavaskar","Amid Virat Kohli's poor form, Sunil Gavaskar said, ""If I had about 20 minutes with him...I'd...tell him the things he might've to do. It might help him."" He added, ""Having been an opening batter...having been troubled by [off-stump] line...there are certain things that you try and do. If I get 20 minutes...I might be able to tell him.""",technology
Hardik Pandya shares video of his journey from injury rehab to India comeback,"Team India all-rounder Hardik Pandya took to social media to share a video of his journey from injury rehab to Team India comeback. He wrote, ""Through the ups and downs...with my people by my side. Woke up every morning raring to go...with the will to become fitter and play for my country. Always grateful to those who stood by me.""",technology
"Report claims Ronaldo to join Sporting CP as car seen at stadium, he calls it 'fake'",Manchester United forward Cristiano Ronaldo has branded reports of a return to Sporting CP on loan as 'fake'. Reports had emerged from Portugal on Sunday claiming the Manchester United forward was at Sporting CP's Jose Alvalade Stadium to discuss a loan return to his boyhood club. A report had also included a picture of Ronaldo's car in the stadium.,technology
"Rail Ministry shares before-after pics of Gauriganj Station, says 'Glimpse of new India'","The Ministry of Railways took to Twitter to share before-after pictures of Gauriganj Station, which is situated in Uttar Pradesh. ""Glimpse of new India: Gauriganj Station,"" the ministry wrote alongside the tweet. ""Superb,"" a user commented on the post. The station is located in Uttar Pradesh's Amethi district.",technology
"Male model, friend arrested with cannabis worth ₹1cr; supplied drugs in DU campus",A 25-year-old Delhi-based model named Shubham Malhotra and his 27-year-old friend Kriti have been arrested with premium quality 'charas' (cannabis) worth ₹1 crore. The duo allegedly supplied drugs to youngsters around the Delhi University (DU) campus. They were allegedly procuring 'charas' from Himachal Pradesh's Malana and transporting it to Delhi hidden in a pillow in their car.,technology
Precaution dose needed as protection is declining: COVID task force,"National Task Force on COVID-19 head Dr VK Paul on Monday said the precaution dose of the vaccine is needed as the protection against the virus is declining. ""We need to have optimal protection beyond six months of second dose. The precaution dose must be pushed in mission mode,"" he said. Paul added that there is fatigue in people's mind.",technology
This Indian bowling unit is excellent: Siraj after ODI series win vs England,"Speaking about India's bowling performance in the recently concluded three-match ODI series against England, pacer Mohammed Siraj stated that the current Indian bowling unit is excellent. ""Like how Hardik Pandya came in and took the wickets of their well-set batters [in third ODI], that phase was really crucial for...team,"" he added. India bowled out England in all three ODIs.",technology
2-time Olympic champion Crouser wins 1st shot put world gold in US sweep,"Two-time Olympic gold medallist and world record holder Ryan Crouser won his first shot put gold medal at World Athletics Championships in Oregon on Sunday as he led a US clean sweep with a championship record throw of 22.94 metres. Defending champion Joe Kovacs threw 22.89 metres to clinch silver, while Josh Awotunde won bronze with a 22.29-metre throw.",technology
Goa reports 100% voter turnout in Presidential polls,"All 40 eligible members of the Goa Legislative Assembly, including CM Pramod Sawant, voted in the Presidential elections on Monday. The polling started at 10 am and all 40 MLAs had voted by 1:50 pm, Secretary of the Goa Legislative Assembly Namrata Ulman said. She added that the polling was conducted smoothly and no complaints or objections were raised.",technology
"Zoho to hire 2,000 people as it looks to expand globally","Software-as-a-service (SaaS) startup Zoho is planning to hire 2,000 people across various roles in engineering, design, content and sales as it looks to expand its operations in India and globally. Speaking to Economic Times, Prashant Ganti, head of products, tax, accounting and payroll at Zoho, said that the company plans to grow organically and expand to other geographies.",technology
iVOOMi Energy to set up Electric Vehicle manufacturing unit in Pune,"iVOOMi Energy will set up an Electric Vehicle manufacturing unit in Pune with a ₹200 crore investment to enhance research and development. iVOOMi Energy aims to roll out more than 2,00,000 units by the end of FY23. The manufacturing plant will be operational from March 2023, and will provide employment to 2,000 people, the company said in a statement. ",technology
General Aeronautics commences commercial production of agri drones,"Drone startup General Aeronautics has started the commercial production of agriculture drones with an aim to produce 100 units monthly. The startup had been conducting trials for the last three years, the results of which have been validated by 15 agricultural institutes, Srikanth Srinivasan, Head of Sales and Marketing, General Aeronautics said. The manufactured drone is named 'Krishak.'",technology
Terror hideout busted by security forces in J&K's Ramban district,"Security forces busted a terror hideout and seized a cache of ammunition and explosives in J&K's Ramban district on Monday, officials informed. The hideout was detected during a joint search operation by the Rashtriya Rifles and the police, officials added. According to officials, a grenade, 35 AK rounds, explosive material and seven pistol rounds were among the items seized.",technology
Stay alert: Uttarakhand CM to officials amid heavy rainfall alert,"In view of the Indian Meteorological Department's (IMD) heavy rainfall forecast for Uttarakhand, CM Pushkar Singh Dhami has asked all District Magistrates to be on high alert. He also appealed to tourists and citizens to stay away from rivers and rivulets to avoid accidents. The IMD has issued a red alert in seven districts of the state for July 20.",technology
India and Fiji hold 5th Foreign Office Consultations in Suva,"Delegations from India and Fiji held the fifth Foreign Office Consultations on Monday in Suva during which the entire gamut of bilateral relations between the countries was reviewed, the Indian High Commission in Suva said. The two sides also discussed ways to strengthen bilateral ties, the mission added. It further informed that the Indian delegation met senior Fijian cabinet ministers.",technology
"BJP MP pledges salary to family of Udaipur tailor, gets death threat","BJP MP from Rajasthan Kirodi Lal Meena on Monday said that he has received a death threat via a letter for pledging his one month's salary to the family of Udaipur-based tailor Kanhaiya Lal. The letter says that whoever insults the Prophet or helps those insulting the Prophet will be killed, even if they are big leaders. ",technology
Yasin Malik to go on hunger strike if 'fair trial' demand not met,"Kashmiri separatist leader Yasin Malik said that he will go on hunger strike from July 22 if his demands for a fair trial are not met, the Jammu and Kashmir Liberation Front (JKLF) stated. Malik moved an application to the Centre seeking personal appearance in two cases. He is currently serving a life sentence in a terror funding case. ",technology
J&K LG announces 10% reservation for 'Agniveers' in police,"J&K LG Manoj Sinha on Sunday announced a 10% reservation in the UT's police force for those who retire after serving in the military under the Agnipath scheme, PTI reported. Sinha said that his decision was influenced by the suggestion of two youths from Jammu. He further directed state officials to ensure that aspiring 'Agniveers' get the resources they need.",technology
Bajrang Dal activist attacked in Uttar Pradesh,"A Bajrang Dal activist, Prashant Saini, was attacked in Uttar Pradesh's Saharanpur district by unidentified miscreants, the police said. Saini was on his way to pick up his son from school when he was attacked by five-six men, Additional Superintendent of Police Rajesh Kumar said. The activist was rushed to the hospital while an FIR was registered against the attackers.",technology
UK residents asked to stay indoors as temp expected to breach 40°C,"People in the UK are being advised to stay indoors and avoid non-essential travel as the country may experience temperatures above 40°C on Monday or Tuesday for the first time since records began. The advisory comes as the country has issued its first-ever red alert for extreme heat amid unprecedented temperatures. Notably, several regions in Europe are experiencing heatwaves.",technology
Nearly half of EU territory at drought risk as Europe braces heatwave,"Nearly half of EU's territory is at risk of drought, the European Commission said on Monday as several parts of the continent are currently bracing heatwaves. EU researchers have also warned that lack of water and strong heat are driving crop yields lower in France, Romania, Spain, Portugal and Italy. Notably, Italy's longest river Po has significantly shrunk in size.",technology
"4 people shot at nightclub in Spain, suspected attacker stabbed","Four people were shot and one other was stabbed with a knife at a nightclub in the Spanish town of Marbella, police said on Monday. The person who was stabbed is suspected to be the one who opened fire, police added. Police informed that two of the four people who were shot and the suspect were in serious condition.",technology
Veteran Bollywood singer Bhupinder Singh passes away at 82,"Veteran Bollywood playback and ghazal singer Bhupinder Singh has passed away of a colon ailment at 82 in Mumbai. Singh is known for songs like 'Naam Gum Jayega', 'Kabhi Kisi Ko Mukammal Jahan Nahi Milta' and 'Hothon Pe Aisi Baat'. He's also been credited as a guitarist in famous Bollywood songs like 'Dum Maro Dum' and 'Mehbooba O Mehbooba'.",startup
West can't isolate Russia & reverse its development by decades: Putin,"Russian President Vladimir Putin said on Monday that it's impossible for the West to isolate Russia from the rest of the world and reverse the country's development back by ""decades"". Putin added that Russia will have to develop its own domestic technology. Western countries, including the US and UK, imposed several financial sanctions on Russia following its invasion of Ukraine.",startup
CBI arrests 8 persons for alleged malpractices in NEET UG 2022 exam,"The Central Bureau of Investigation (CBI) arrested eight people on Monday for alleged malpractices in NEET UG 2022 exam held on July 17. The CBI claimed that candidates' user IDs and passwords were collected by the accused, who made necessary modifications to get desired examination centres. The accused also tried to morph photographs to facilitate use of proxy candidates.",startup
"If I get 20 minutes with Virat Kohli, I might be able to help him: Sunil Gavaskar","Amid Virat Kohli's poor form, Sunil Gavaskar said, ""If I had about 20 minutes with him...I'd...tell him the things he might've to do. It might help him."" He added, ""Having been an opening batter...having been troubled by [off-stump] line...there are certain things that you try and do. If I get 20 minutes...I might be able to tell him.""",startup
Hardik Pandya shares video of his journey from injury rehab to India comeback,"Team India all-rounder Hardik Pandya took to social media to share a video of his journey from injury rehab to Team India comeback. He wrote, ""Through the ups and downs...with my people by my side. Woke up every morning raring to go...with the will to become fitter and play for my country. Always grateful to those who stood by me.""",startup
"Report claims Ronaldo to join Sporting CP as car seen at stadium, he calls it 'fake'",Manchester United forward Cristiano Ronaldo has branded reports of a return to Sporting CP on loan as 'fake'. Reports had emerged from Portugal on Sunday claiming the Manchester United forward was at Sporting CP's Jose Alvalade Stadium to discuss a loan return to his boyhood club. A report had also included a picture of Ronaldo's car in the stadium.,startup
"Rail Ministry shares before-after pics of Gauriganj Station, says 'Glimpse of new India'","The Ministry of Railways took to Twitter to share before-after pictures of Gauriganj Station, which is situated in Uttar Pradesh. ""Glimpse of new India: Gauriganj Station,"" the ministry wrote alongside the tweet. ""Superb,"" a user commented on the post. The station is located in Uttar Pradesh's Amethi district.",startup
"Male model, friend arrested with cannabis worth ₹1cr; supplied drugs in DU campus",A 25-year-old Delhi-based model named Shubham Malhotra and his 27-year-old friend Kriti have been arrested with premium quality 'charas' (cannabis) worth ₹1 crore. The duo allegedly supplied drugs to youngsters around the Delhi University (DU) campus. They were allegedly procuring 'charas' from Himachal Pradesh's Malana and transporting it to Delhi hidden in a pillow in their car.,startup
Precaution dose needed as protection is declining: COVID task force,"National Task Force on COVID-19 head Dr VK Paul on Monday said the precaution dose of the vaccine is needed as the protection against the virus is declining. ""We need to have optimal protection beyond six months of second dose. The precaution dose must be pushed in mission mode,"" he said. Paul added that there is fatigue in people's mind.",startup
This Indian bowling unit is excellent: Siraj after ODI series win vs England,"Speaking about India's bowling performance in the recently concluded three-match ODI series against England, pacer Mohammed Siraj stated that the current Indian bowling unit is excellent. ""Like how Hardik Pandya came in and took the wickets of their well-set batters [in third ODI], that phase was really crucial for...team,"" he added. India bowled out England in all three ODIs.",startup
2-time Olympic champion Crouser wins 1st shot put world gold in US sweep,"Two-time Olympic gold medallist and world record holder Ryan Crouser won his first shot put gold medal at World Athletics Championships in Oregon on Sunday as he led a US clean sweep with a championship record throw of 22.94 metres. Defending champion Joe Kovacs threw 22.89 metres to clinch silver, while Josh Awotunde won bronze with a 22.29-metre throw.",startup
Goa reports 100% voter turnout in Presidential polls,"All 40 eligible members of the Goa Legislative Assembly, including CM Pramod Sawant, voted in the Presidential elections on Monday. The polling started at 10 am and all 40 MLAs had voted by 1:50 pm, Secretary of the Goa Legislative Assembly Namrata Ulman said. She added that the polling was conducted smoothly and no complaints or objections were raised.",startup
"Zoho to hire 2,000 people as it looks to expand globally","Software-as-a-service (SaaS) startup Zoho is planning to hire 2,000 people across various roles in engineering, design, content and sales as it looks to expand its operations in India and globally. Speaking to Economic Times, Prashant Ganti, head of products, tax, accounting and payroll at Zoho, said that the company plans to grow organically and expand to other geographies.",startup
iVOOMi Energy to set up Electric Vehicle manufacturing unit in Pune,"iVOOMi Energy will set up an Electric Vehicle manufacturing unit in Pune with a ₹200 crore investment to enhance research and development. iVOOMi Energy aims to roll out more than 2,00,000 units by the end of FY23. The manufacturing plant will be operational from March 2023, and will provide employment to 2,000 people, the company said in a statement. ",startup
General Aeronautics commences commercial production of agri drones,"Drone startup General Aeronautics has started the commercial production of agriculture drones with an aim to produce 100 units monthly. The startup had been conducting trials for the last three years, the results of which have been validated by 15 agricultural institutes, Srikanth Srinivasan, Head of Sales and Marketing, General Aeronautics said. The manufactured drone is named 'Krishak.'",startup
Terror hideout busted by security forces in J&K's Ramban district,"Security forces busted a terror hideout and seized a cache of ammunition and explosives in J&K's Ramban district on Monday, officials informed. The hideout was detected during a joint search operation by the Rashtriya Rifles and the police, officials added. According to officials, a grenade, 35 AK rounds, explosive material and seven pistol rounds were among the items seized.",startup
Stay alert: Uttarakhand CM to officials amid heavy rainfall alert,"In view of the Indian Meteorological Department's (IMD) heavy rainfall forecast for Uttarakhand, CM Pushkar Singh Dhami has asked all District Magistrates to be on high alert. He also appealed to tourists and citizens to stay away from rivers and rivulets to avoid accidents. The IMD has issued a red alert in seven districts of the state for July 20.",startup
India and Fiji hold 5th Foreign Office Consultations in Suva,"Delegations from India and Fiji held the fifth Foreign Office Consultations on Monday in Suva during which the entire gamut of bilateral relations between the countries was reviewed, the Indian High Commission in Suva said. The two sides also discussed ways to strengthen bilateral ties, the mission added. It further informed that the Indian delegation met senior Fijian cabinet ministers.",startup
"BJP MP pledges salary to family of Udaipur tailor, gets death threat","BJP MP from Rajasthan Kirodi Lal Meena on Monday said that he has received a death threat via a letter for pledging his one month's salary to the family of Udaipur-based tailor Kanhaiya Lal. The letter says that whoever insults the Prophet or helps those insulting the Prophet will be killed, even if they are big leaders. ",startup
Yasin Malik to go on hunger strike if 'fair trial' demand not met,"Kashmiri separatist leader Yasin Malik said that he will go on hunger strike from July 22 if his demands for a fair trial are not met, the Jammu and Kashmir Liberation Front (JKLF) stated. Malik moved an application to the Centre seeking personal appearance in two cases. He is currently serving a life sentence in a terror funding case. ",startup
J&K LG announces 10% reservation for 'Agniveers' in police,"J&K LG Manoj Sinha on Sunday announced a 10% reservation in the UT's police force for those who retire after serving in the military under the Agnipath scheme, PTI reported. Sinha said that his decision was influenced by the suggestion of two youths from Jammu. He further directed state officials to ensure that aspiring 'Agniveers' get the resources they need.",startup
Bajrang Dal activist attacked in Uttar Pradesh,"A Bajrang Dal activist, Prashant Saini, was attacked in Uttar Pradesh's Saharanpur district by unidentified miscreants, the police said. Saini was on his way to pick up his son from school when he was attacked by five-six men, Additional Superintendent of Police Rajesh Kumar said. The activist was rushed to the hospital while an FIR was registered against the attackers.",startup
UK residents asked to stay indoors as temp expected to breach 40°C,"People in the UK are being advised to stay indoors and avoid non-essential travel as the country may experience temperatures above 40°C on Monday or Tuesday for the first time since records began. The advisory comes as the country has issued its first-ever red alert for extreme heat amid unprecedented temperatures. Notably, several regions in Europe are experiencing heatwaves.",startup
Nearly half of EU territory at drought risk as Europe braces heatwave,"Nearly half of EU's territory is at risk of drought, the European Commission said on Monday as several parts of the continent are currently bracing heatwaves. EU researchers have also warned that lack of water and strong heat are driving crop yields lower in France, Romania, Spain, Portugal and Italy. Notably, Italy's longest river Po has significantly shrunk in size.",startup
"4 people shot at nightclub in Spain, suspected attacker stabbed","Four people were shot and one other was stabbed with a knife at a nightclub in the Spanish town of Marbella, police said on Monday. The person who was stabbed is suspected to be the one who opened fire, police added. Police informed that two of the four people who were shot and the suspect were in serious condition.",startup
Veteran Bollywood singer Bhupinder Singh passes away at 82,"Veteran Bollywood playback and ghazal singer Bhupinder Singh has passed away of a colon ailment at 82 in Mumbai. Singh is known for songs like 'Naam Gum Jayega', 'Kabhi Kisi Ko Mukammal Jahan Nahi Milta' and 'Hothon Pe Aisi Baat'. He's also been credited as a guitarist in famous Bollywood songs like 'Dum Maro Dum' and 'Mehbooba O Mehbooba'.",entertainment
West can't isolate Russia & reverse its development by decades: Putin,"Russian President Vladimir Putin said on Monday that it's impossible for the West to isolate Russia from the rest of the world and reverse the country's development back by ""decades"". Putin added that Russia will have to develop its own domestic technology. Western countries, including the US and UK, imposed several financial sanctions on Russia following its invasion of Ukraine.",entertainment
